Entry number,Habitat,Treehole Number,Morphospecies,Size (mm),Amount ,
44,T,118T,Cecidomid Sp.B,2,4,
46,T,118T,Ceratopogonid Sp.A,4,4,
39,T,118T,Syrphid,13,7,
41,T,118T,Cecidomid Sp.A,1,14,
43,T,118T,Cecidomid Sp.A,3,15,
42,T,118T,Cecidomid Sp.A,2,38,
826,G,120G,Chironomid B,4,1,
823,G,120G,Polypedilum,4,2,
824,G,120G,Polypedilum,6,3,
825,G,120G,Polypedilum,7,3,
30,T,120T,Ceratopogonid Sp.A,3,1,
32,T,120T,Syrphid,14,1,
31,T,120T,Ceratopogonid Sp.A,4,5,
699,G,121G,Psychodid Sp.B & Sp.C,8,5,
,,121G,Culicid,,25,
520,T,121T,Culicid,8,1,
521,T,121T,Syrphid,1,1,
523,T,121T,Syrphid,15,1,
518,T,121T,Ceratopogonid,2,2,
522,T,121T,Syrphid,13,2,
524,T,121T,Syrphid,16,3,
519,T,121T,Ceratopogonid,3,5,
325,T,121T,Dead,Dead,29,
,,121T,Psychodid,,173,
97,G,122G,Culicid,7,1,
98,G,122G,Culicid Pupae,,1,
99,G,122G,Adult Culicid,,1,
93,T,122T,Cecidomid Sp.A,3,1,
94,T,122T,Cecidomid Sp.A,2,1,
95,T,122T,Psychodid Sp.A,4,1,
,,122T,Dead,Dead,1,
96,T,122T,Chironomid Sp.C,4,2,
92,T,122T,Pupas,,3,
,,122T,Ceratopogonid,,209,
,,123G,Polypedilum,,118,
610,T,123T,Dead,Dead,1,
607,T,123T,Ceratopogonid Sp.B,1,9,
608,T,123T,Ceratopogonid Sp.B,2,64,
609,T,123T,Ceratopogonid Sp.B,3,87,
90,G,124G,NO INSECTS,,,
,,124G,NO INSECTS,,,
,,124T,Ceratopogonid,,230,
764,G,125G,Dead,Dead,1,
864,T,125T,Dead,Dead,30,
