year,Date,fire_med_high
2009,2009-06-10,710
2009,2009-06-18,141
2009,2009-06-26,44
2009,2009-07-04,72
2009,2009-07-12,132
2009,2009-07-20,386
2009,2009-07-28,2258
2009,2009-08-05,1264
2009,2009-08-13,369
2009,2009-08-21,1521
2009,2009-08-29,927
2009,2009-09-06,349
2009,2009-09-14,630
2009,2009-09-22,1424
2009,2009-09-30,312
2008,2008-05-01,556
2008,2008-05-09,531
2008,2008-05-17,431
2008,2008-05-25,465
2008,2008-06-02,646
2008,2008-06-10,724
2008,2008-06-18,744
2008,2008-06-26,2967
2008,2008-07-04,1209
2008,2008-07-12,812
2008,2008-07-20,1098
2008,2008-07-28,1042
2008,2008-08-05,754
2008,2008-08-13,1131
2008,2008-08-21,125
2008,2008-08-29,178
2008,2008-09-06,390
2008,2008-09-14,650
2008,2008-09-22,440
2008,2008-09-30,877
2007,2007-05-01,406
2007,2007-05-09,495
2007,2007-05-17,306
2007,2007-05-25,457
2007,2007-06-02,854
2007,2007-06-10,765
2007,2007-06-18,317
2007,2007-06-26,656
2007,2007-07-04,1313
2007,2007-07-12,2566
2007,2007-07-20,2518
2007,2007-07-28,3203
2007,2007-08-05,1830
2007,2007-08-13,3755
2007,2007-08-21,641
2007,2007-08-29,1475
2007,2007-09-06,1343
2007,2007-09-14,559
2007,2007-09-22,404
2007,2007-09-30,340
2006,2006-05-01,502
2006,2006-05-09,618
2006,2006-05-17,337
2006,2006-05-25,52
2006,2006-06-02,411
2006,2006-06-10,408
2006,2006-06-18,2319
2006,2006-06-26,4404
2006,2006-07-04,3368
2006,2006-07-12,287
2006,2006-07-20,1435
2006,2006-07-28,1745
2006,2006-08-05,977
2006,2006-08-13,968
2006,2006-08-21,1568
2006,2006-08-29,1685
2006,2006-09-06,1882
2006,2006-09-14,211
2006,2006-09-22,814
2006,2006-09-30,618
2005,2005-05-01,1005
2005,2005-05-09,861
2005,2005-05-17,136
2005,2005-05-25,739
2005,2005-06-02,636
2005,2005-06-10,122
2005,2005-06-18,99
2005,2005-06-26,237
2005,2005-07-04,1257
2005,2005-07-12,1396
2005,2005-07-20,381
2005,2005-07-28,716
2005,2005-08-05,1215
2005,2005-08-13,572
2005,2005-08-21,639
2005,2005-08-29,747
2005,2005-09-06,496
2005,2005-09-14,412
2005,2005-09-22,489
2005,2005-09-30,278
2004,2004-05-01,556
2004,2004-05-09,108
2004,2004-05-17,176
2004,2004-05-25,52
2004,2004-06-02,182
2004,2004-06-10,62
2004,2004-06-18,758
2004,2004-06-26,1857
2004,2004-07-04,1212
2004,2004-07-12,1455
2004,2004-07-20,3630
2004,2004-07-28,1272
2004,2004-08-05,1164
2004,2004-08-13,3150
2004,2004-08-21,204
2004,2004-08-29,180
2004,2004-09-06,265
2004,2004-09-14,85
2004,2004-09-22,932
2004,2004-09-30,914
2003,2003-05-01,229
2003,2003-05-09,570
2003,2003-05-17,387
2003,2003-05-25,337
2003,2003-06-02,238
2003,2003-06-10,87
2003,2003-06-18,228
2003,2003-06-26,306
2003,2003-07-04,300
2003,2003-07-12,605
2003,2003-07-20,1346
2003,2003-07-28,3170
2003,2003-08-05,2252
2003,2003-08-13,4537
2003,2003-08-21,2299
2003,2003-08-29,2833
2003,2003-09-06,1295
2003,2003-09-14,345
2003,2003-09-22,690
2003,2003-09-30,849
2002,2002-05-01,344
2002,2002-05-09,583
2002,2002-05-17,1054
2002,2002-05-25,1300
2002,2002-06-02,553
2002,2002-06-10,1104
2002,2002-06-18,2496
2002,2002-06-26,3706
2002,2002-07-04,630
2002,2002-07-12,1837
2002,2002-07-20,1185
2002,2002-07-28,504
2002,2002-08-05,254
2002,2002-08-13,717
2002,2002-08-21,313
2002,2002-08-29,200
2002,2002-09-06,339
2002,2002-09-14,461
2002,2002-09-22,423
2002,2002-09-30,506
2001,2001-05-01,687
2001,2001-05-09,481
2001,2001-05-17,318
2001,2001-05-25,979
2001,2001-06-02,53
2001,2001-06-10,140
2001,2001-06-26,31
2001,2001-07-04,342
2001,2001-07-12,487
2001,2001-07-20,161
2001,2001-07-28,185
2001,2001-08-05,987
2001,2001-08-13,2555
2001,2001-08-21,752
2001,2001-08-29,764
2001,2001-09-06,286
2001,2001-09-14,509
2001,2001-09-22,558
2001,2001-09-30,748
2000,2000-05-01,593
2000,2000-05-09,302
2000,2000-05-17,215
2000,2000-05-25,102
2000,2000-06-02,243
2000,2000-06-10,59
2000,2000-06-18,120
2000,2000-06-26,552
2000,2000-07-04,100
2000,2000-07-12,690
2000,2000-07-20,682
2000,2000-07-28,1222
2000,2000-08-05,470
2000,2000-08-13,716
2000,2000-08-21,2511
2000,2000-08-29,1085
2000,2000-09-06,186
2000,2000-09-14,612
2000,2000-09-22,756
2000,2000-09-30,607
