"","year","month","day","site_name","distance","shoots_m2","flowering_shoots_m2","shoots","flowering_shoots"
"1","2019","Aug","28","West Beach",0.5,864,32,27,1
"2","2019","Aug","28","West Beach",1.5,640,96,20,3
"3","2019","Aug","28","West Beach",2.5,1632,32,51,1
"4","2019","Aug","28","West Beach",3.5,864,32,27,1
"5","2019","Aug","28","West Beach",4.5,192,64,6,2
"6","2019","Aug","28","West Beach",5.5,1152,160,36,5
"7","2019","Aug","28","West Beach",6.5,672,0,21,0
"8","2019","Aug","28","West Beach",7.5,1952,32,61,1
"9","2019","Aug","28","West Beach",8.5,1344,32,42,1
"10","2019","Aug","28","West Beach",9.5,1216,0,38,0
"11","2019","Aug","29","Fifth Beach",0.5,0,NA,0,NA
"12","2019","Aug","29","Fifth Beach",1.5,0,NA,0,NA
"13","2019","Aug","29","Fifth Beach",2.5,0,NA,0,NA
"14","2019","Aug","29","Fifth Beach",3.5,1056,0,33,0
"15","2019","Aug","29","Fifth Beach",4.5,608,0,19,0
"16","2019","Aug","29","Fifth Beach",5.5,0,NA,0,NA
"17","2019","Aug","29","Fifth Beach",6.5,2336,640,73,20
"18","2019","Aug","29","Fifth Beach",7.5,2240,0,70,0
"19","2019","Aug","29","Fifth Beach",8.5,0,NA,0,NA
"20","2019","Aug","29","Fifth Beach",9.5,0,NA,0,NA
"21","2019","Aug","30","North Beach",0.5,960,0,30,0
"22","2019","Aug","30","North Beach",1.5,1376,64,43,2
"23","2019","Aug","30","North Beach",2.5,896,0,28,0
"24","2019","Aug","30","North Beach",3.5,384,0,12,0
"25","2019","Aug","30","North Beach",4.5,1504,0,47,0
"26","2019","Aug","30","North Beach",5.5,736,64,23,2
"27","2019","Aug","30","North Beach",6.5,0,NA,0,NA
"28","2019","Aug","30","North Beach",7.5,704,0,22,0
"29","2019","Aug","30","North Beach",8.5,928,0,29,0
"30","2019","Aug","30","North Beach",9.5,1024,32,32,1
"31","2019","Jun","15","Fifth Beach",0.5,0,NA,0,NA
"32","2019","Jun","15","Fifth Beach",1.5,0,NA,0,NA
"33","2019","Jun","15","Fifth Beach",2.5,0,NA,0,NA
"34","2019","Jun","15","Fifth Beach",3.5,832,0,26,0
"35","2019","Jun","15","Fifth Beach",4.5,1472,0,46,0
"36","2019","Jun","15","Fifth Beach",5.5,480,0,15,0
"37","2019","Jun","15","Fifth Beach",6.5,1856,0,58,0
"38","2019","Jun","15","Fifth Beach",7.5,512,0,16,0
