crop,date,location,variety,post.id.number,plant.id.number,terminal.with.aphid,terminal.without.aphids,aphid.number
blueberry,22-May-19,SB,A,NA,NA,NA,NA,NA
blueberry,22-May-19,SB,A,NA,NA,NA,NA,NA
blueberry,22-May-19,SB,A,NA,NA,NA,NA,NA
blueberry,22-May-19,SB,A,NA,NA,NA,NA,NA
blueberry,22-May-19,SB,A,NA,NA,NA,NA,NA
blueberry,22-May-19,SB,B,NA,NA,NA,NA,NA
blueberry,22-May-19,SB,B,NA,NA,NA,NA,NA
blueberry,22-May-19,SB,B,NA,NA,NA,NA,NA
blueberry,22-May-19,SB,B,NA,NA,NA,NA,NA
blueberry,22-May-19,SB,B,NA,NA,NA,NA,NA
blueberry,22-May-19,SB,C ,NA,NA,4,6,NA
blueberry,22-May-19,SB,C ,NA,NA,2,8,NA
blueberry,22-May-19,SB,C,NA,NA,1,9,NA
blueberry,22-May-19,SB,C,NA,NA,1,9,NA
blueberry,22-May-19,SB,C,NA,NA,NA,NA,NA
blueberry,22-May-19,SB,D,NA,NA,0,10,NA
blueberry,22-May-19,SB,D,NA,NA,0,10,NA
blueberry,22-May-19,SB,D,NA,NA,3,7,NA
blueberry,22-May-19,SB,D,NA,NA,0,10,NA
blueberry,22-May-19,SB,D,NA,NA,NA,NA,NA
blueberry,22-May-19,SB,E,NA,NA,NA,NA,NA
blueberry,22-May-19,SB,E,NA,NA,NA,NA,NA
blueberry,22-May-19,SB,E,NA,NA,NA,NA,NA
blueberry,22-May-19,SB,E,NA,NA,NA,NA,NA
blueberry,22-May-19,SB,E,NA,NA,NA,NA,NA
blueberry,22-May-19,SB,F,NA,NA,2,8,NA
blueberry,22-May-19,SB,F,NA,NA,3,7,NA
blueberry,22-May-19,SB,F,NA,NA,6,4,NA
blueberry,22-May-19,SB,F,NA,NA,3,7,NA
blueberry,22-May-19,SB,F,NA,NA,4,6,NA
blueberry,22-May-19,SB,G,NA,NA,2,8,NA
blueberry,22-May-19,SB,G,NA,NA,5,5,NA
blueberry,22-May-19,SB,G,NA,NA,3,7,NA
blueberry,22-May-19,SB,G,NA,NA,2,8,NA
blueberry,22-May-19,SB,G,NA,NA,3,7,NA
blueberry,22-May-19,AR,A,NA,NA,0,10,NA
blueberry,22-May-19,AR,G,NA,NA,0,10,NA
