site_code,count,year_normal,heatdome
bcba,28.3846,1986,no
bcba,33.5,1987,no
bcba,28.6364,1988,no
bcba,9.8235,1989,no
bcba,34.3,1990,no
bcba,64.75,1991,no
bcba,30.1538,1992,no
bcba,22.2857,1993,no
bcba,9.9231,1994,no
bcba,36.4375,1995,no
bcba,27.75,1996,no
bcba,60.2857,1997,no
bcba,8.4898,1998,no
bcba,4.5,1999,no
bcba,85.0476,2000,no
bcba,138.3448,2001,no
bcba,76.3774,2002,no
bcba,88.4255,2004,no
bcba,69.9661,2005,no
bcba,32,2006,no
bcba,66.1481,2007,no
bcba,2.9206,2008,no
bcba,34.8679,2009,no
bcba,71.2222,2010,no
bcba,65.4216,2011,no
bcba,8.8304,2012,no
bcba,54.7692,2013,no
bcba,5.9056,2014,no
bcba,17.5104,2015,no
bcba,21.7436,2016,no
bcba,2.5,2017,no
bcba,0.1653,2018,no
bcba,2.6522,2019,no
bcba,1.3932,2020,no
bcbr,13.6923,1994,no
bcbr,14.2149,1995,no
bcbr,1.0741,1996,no
bcbr,4.875,1997,no
bcbr,6.1127,1998,no
bcbr,1.5932,1999,no
bcbr,0.9859,2000,no
bcbr,1.05,2001,no
bcbr,7.4359,2002,no
bcbr,1.822,2003,no
bcbr,3.1111,2004,no
bcbr,6.2805,2005,no
bcbr,2.1205,2006,no
bcbr,3.3407,2007,no
bcbr,1.9375,2008,no
bcbr,2.0952,2011,no
bcbr,9.1,2012,no
bcbr,4.5714,2013,no
bcbr,5,2014,no
bcbr,12.8182,2015,no
bcbr,7.0588,2016,no
bcbr,7.8824,2017,no
bcbr,5.7619,2018,no
bcbr,2.4646,2019,no
bcbr,4.4286,2020,no
bcci,130.9091,2001,no
bcci,35.2381,2002,no
bcci,4.0769,2003,no
bcci,14.1724,2004,no
bcci,10.5185,2005,no
bcci,24.6667,2006,no
bcci,19.5,2007,no
bcci,34.3333,2008,no
bcci,21.7059,2009,no
bcci,31.75,2010,no
bcci,26.7,2011,no
bcci,13.2308,2012,no
bcci,35.1429,2013,no
bcci,32.64,2014,no
bcci,58.1905,2015,no
bcci,46.4,2016,no
bcci,43.76,2017,no
bcci,27.08,2018,no
bcci,15.76,2019,no
bcci,35.6,2020,no
bcco,44.5783,1961,no
bcco,23.5714,1962,no
bcco,12.6667,1963,no
bcco,21.1765,1964,no
bcco,10.6818,1966,no
bcco,22.75,1967,no
bcco,16.9444,1968,no
bcco,26.6667,1969,no
bcco,5.9322,1970,no
bcco,20,1971,no
bcco,18.5714,1972,no
bcco,14.8906,1973,no
bcco,18.0882,1974,no
bcco,19.0441,1975,no
bcco,22.875,1976,no
bcco,15.4028,1977,no
bcco,13.4861,1978,no
bcco,7.1346,1979,no
bcco,9.375,1980,no
bcco,11.2632,1981,no
bcco,8.3077,1982,no
bcco,13.6574,1983,no
bcco,14.7188,1984,no
bcco,9.25,1985,no
bcco,8.4271,1986,no
bcco,9.25,1987,no
bcco,4.6042,1988,no
bcco,24.1979,1989,no
bcco,14.9271,1990,no
bcco,11.2212,1991,no
bcco,4.5,1992,no
bcco,6.9495,1993,no
bcco,14.0625,1994,no
bcco,6.6111,1995,no
bcco,14.6729,1997,no
bcco,12.7594,1998,no
bcco,12.4848,1999,no
bcco,0,2000,no
bcco,72.8727,2001,no
bcco,17.4904,2002,no
bcco,39.9667,2003,no
bcco,0,2004,no
bcco,14.2313,2005,no
bcco,20.49,2006,no
bcco,58.9128,2009,no
bcco,14.7458,2010,no
bcco,12.6681,2011,no
bcco,14.1451,2012,no
bcco,19.7983,2013,no
bcco,69.3721,2014,no
bcco,27.9167,2015,no
bcco,28.9671,2016,no
bcco,13.1046,2017,no
bcco,29.3711,2018,no
bcco,24.6598,2019,no
bcco,14.4226,2020,no
bcdb,21.625,1986,no
bcdb,26.975,1987,no
bcdb,12.4889,1988,no
bcdb,17.825,1989,no
bcdb,22.75,1990,no
bcdb,16.15,1991,no
bcdb,24.975,1992,no
bcdb,18.875,1993,no
bcdb,21.8,1994,no
bcdb,24.075,1995,no
bcdb,3.0938,1996,no
bcdb,11.0118,1997,no
bcdb,15.5682,1998,no
bcdb,30.9639,1999,no
bcdb,20.9556,2000,no
bcdb,26.0426,2001,no
bcdb,92.8,2002,no
bcdb,113,2003,no
bcdb,0,2004,no
bcdb,30.9123,2005,no
bcdb,18.5217,2006,no
bcdb,5.8658,2007,no
bcdb,52.375,2009,no
bcdb,23.8852,2010,no
bcdb,15.5183,2011,no
bcdb,92.0229,2014,no
bcdb,29.6531,2015,no
bcdb,18.9487,2016,no
bcdb,2.7223,2017,no
bcdb,41.75,2018,no
bcdb,7.1701,2019,no
bcdb,6.0961,2020,no
bcde,6.4122,2019,no
bcde,13.2377,2020,no
bcdu,1.5526,1970,no
bcdu,2.4054,1971,no
bcdu,2.6279,1972,no
bcdu,7.5614,1973,no
bcdu,4.9818,1974,no
bcdu,3.4426,1975,no
bcdu,5.1825,1976,no
bcdu,11.9583,1977,no
bcdu,5.8582,1978,no
bcdu,4.7419,1979,no
bcdu,2.8833,1980,no
bcdu,5.175,1981,no
bcdu,3.7353,1982,no
bcdu,2.507,1983,no
bcdu,1.322,1984,no
bcdu,4.2989,1985,no
bcdu,2.4295,1986,no
bcdu,3.5873,1987,no
bcdu,3.3688,1988,no
bcdu,3.6043,1989,no
bcdu,1.8333,1990,no
bcdu,5.6609,1991,no
bcdu,1.2292,1992,no
bcdu,2.1299,1993,no
bcdu,0.774,1994,no
bcdu,1.2922,1995,no
bcdu,0.2482,2000,no
bcdu,0.873,2001,no
bcdu,0.7699,2002,no
bcdu,0.8163,2003,no
bcdu,0.4846,2004,no
bcdu,0.5209,2005,no
bcdu,1.0135,2006,no
bcdu,1.9586,2007,no
bcdu,0.0196,2008,no
bcdu,0.6476,2009,no
bcdu,0.6804,2010,no
bcdu,0.9171,2011,no
bcdu,0.3439,2012,no
bcdu,0.7317,2013,no
bcdu,0.3258,2014,no
bcdu,0.7234,2015,no
bcdu,3.037,2016,no
bcdu,0.9912,2017,no
bcdu,0.4545,2018,no
bcdu,0.5915,2019,no
bcdu,0.903,2020,no
bcgs,1.7159,2005,no
bcgs,2.7267,2006,no
bcgs,6.8357,2007,no
bcgs,1.1724,2008,no
bcgs,2.3333,2009,no
bcgs,2.1273,2010,no
bcgs,6.8091,2011,no
bcgs,1.7135,2012,no
