site_code,count,year_normal,heatdome
bcgs,2.1457,2013,no
bcgs,2.75,2014,no
bcgs,4.351,2015,no
bcgs,2.6684,2016,no
bcgs,1.4322,2017,no
bcgs,0.6957,2018,no
bcgs,1.8925,2019,no
bcgs,1.3981,2020,no
bche,39.5,2003,no
bche,6.375,2004,no
bche,5.2308,2005,no
bche,24.7407,2006,no
bche,54,2007,no
bche,12.48,2009,no
bche,50.88,2010,no
bche,36.8333,2011,no
bche,2.8571,2012,no
bche,0.1538,2013,no
bche,30.8571,2014,no
bche,7.1429,2015,no
bche,178.4615,2016,no
bche,130.1429,2017,no
bche,86.24,2018,no
bche,86.1538,2019,no
bcki,44.4444,1981,no
bcki,2.7027,1984,no
bcki,0.069,1986,no
bcki,0.9286,1987,no
bcki,1.2105,1990,no
bcki,1.25,1996,no
bcki,0.9818,2006,no
bcki,0.5106,2018,no
bcki,1.0619,2019,no
bcla,2.1965,1981,no
bcla,8.532,1982,no
bcla,3.0405,1983,no
bcla,2.8865,1984,no
bcla,4.8794,1985,no
bcla,3.9704,1986,no
bcla,3.3358,1987,no
bcla,4.2059,1988,no
bcla,9.5985,1989,no
bcla,2.5708,1990,no
bcla,3.6486,1991,no
bcla,1.7405,1992,no
bcla,8.5618,1993,no
bcla,3.1604,1994,no
bcla,1.5481,1995,no
bcla,1.8052,1996,no
bcla,1.7854,1997,no
bcla,5.6431,1998,no
bcla,1.6048,1999,no
bcla,2.3692,2000,no
bcla,1.7074,2001,no
bcla,2.8602,2002,no
bcla,4.2777,2003,no
bcla,9.265,2004,no
bcla,2.212,2005,no
bcla,2.1925,2006,no
bcla,1.6203,2007,no
bcla,1.3186,2008,no
bcla,1.7819,2009,no
bcla,3.0738,2010,no
bcla,1.8762,2011,no
bcla,2.2927,2012,no
bcla,1.8602,2013,no
bcla,1.655,2014,no
bcla,22.074,2016,no
bcla,2.4735,2020,no
bclh,0.4346,2020,no
bclq,0.4598,2005,no
bclq,0.1565,2007,no
bclq,0.1042,2010,no
bclq,0.0441,2011,no
bclq,0,2013,no
bclq,1.2679,2014,no
bclq,1.1485,2015,no
bclq,2.087,2016,no
bclq,0.0913,2017,no
bclq,0,2018,no
bclq,0.075,2019,no
bcma,3.3889,1982,no
bcma,1.8298,1983,no
bcma,0.0741,1984,no
bcma,0.2419,1985,no
bcma,4.8148,1986,no
bcma,1.4039,1987,no
bcma,2.7835,1988,no
bcma,0.9115,1989,no
bcma,1.784,1990,no
bcma,1.8277,1991,no
bcma,0.9474,1992,no
bcma,3,1993,no
bcma,1.4516,1994,no
bcma,1.3458,1995,no
bcma,0.7862,1996,no
bcma,2.2819,1997,no
bcma,0.6851,1998,no
bcma,3.9459,1999,no
bcma,12.2697,2000,no
bcma,2.8226,2001,no
bcma,4.657,2002,no
bcma,2.2697,2003,no
bcma,4.7629,2004,no
bcma,1.4847,2005,no
bcma,1.6575,2006,no
bcma,0.568,2007,no
bcma,0.487,2008,no
bcma,3.3772,2009,no
bcma,6.6154,2010,no
bcma,0.7179,2011,no
bcma,2.4138,2012,no
bcma,6,2013,no
bcma,0.375,2014,no
bcma,4.1176,2015,no
bcma,2.3252,2016,no
bcma,0.4587,2017,no
bcma,1.7255,2018,no
bcma,0.8602,2019,no
bcma,0.9545,2020,no
bcnb,16.0299,2002,no
bcnb,12.2889,2003,no
bcnb,8.0862,2004,no
bcnb,1.5714,2005,no
bcnb,10.3243,2006,no
bcnb,11.8794,2007,no
bcnb,17.7846,2008,no
bcnb,5.3091,2009,no
bcnb,6.9763,2010,no
bcnb,8.2988,2011,no
bcnb,7.8112,2012,no
bcnb,6.0258,2013,no
bcnb,9.641,2014,no
bcnb,7.627,2015,no
bcnb,10.9394,2016,no
bcnb,3.2911,2017,no
bcnb,3.6711,2018,no
bcnb,5.7369,2019,no
bcnb,6.1553,2020,no
bcnn,0.4444,1972,no
bcnn,0.7889,1973,no
bcnn,6.9024,1974,no
bcnn,20.1087,1975,no
bcnn,43.1778,1976,no
bcnn,10.431,1977,no
bcnn,4,1978,no
bcnn,3.497,1979,no
bcnn,8.4396,1980,no
bcnn,5.0962,1981,no
bcnn,1.6989,1982,no
bcnn,7.7031,1983,no
bcnn,3.5254,1984,no
bcnn,1.823,1985,no
bcnn,4.8966,1986,no
bcnn,6.7297,1987,no
bcnn,9.3639,1988,no
bcnn,11.7476,1989,no
bcnn,14.0444,1990,no
bcnn,9.781,1991,no
bcnn,5.3891,1992,no
bcnn,6.4327,1993,no
bcnn,10.4021,1994,no
bcnn,4.7434,1995,no
bcnn,9.101,1996,no
bcnn,6.1809,1997,no
bcnn,3.3103,1998,no
bcnn,13.7264,1999,no
bcnn,10.226,2000,no
bcnn,4.8116,2001,no
bcnn,1.8146,2002,no
bcnn,3.1847,2003,no
bcnn,3.1613,2004,no
bcnn,1.9638,2005,no
bcnn,1.795,2006,no
bcnn,5.5663,2007,no
bcnn,2.2942,2008,no
bcnn,4.006,2009,no
bcnn,1.4958,2010,no
bcnn,2.8682,2011,no
bcnn,2.6986,2013,no
bcnn,3.15,2014,no
bcnn,1.7077,2015,no
bcnn,1.284,2016,no
bcnn,0.2936,2017,no
bcnn,0.8626,2018,no
bcnn,4.3243,2019,no
bcnn,1.2334,2020,no
bcpa,2.0247,1992,no
bcpa,4.3538,1993,no
bcpa,0,1994,no
bcpa,1.5596,1995,no
bcpa,3.7083,1996,no
bcpa,2.6055,1997,no
bcpa,5.1845,1998,no
bcpa,2.2312,1999,no
bcpa,2.5128,2000,no
bcpa,0.4058,2001,no
bcpa,9.0408,2002,no
bcpa,2.9677,2003,no
bcpa,2.3968,2004,no
bcpa,4.5023,2005,no
bcpa,1.5545,2006,no
bcpa,1.4769,2007,no
bcpa,7.5616,2008,no
bcpa,3.8919,2009,no
bcpa,3.2787,2010,no
bcpa,3.6629,2011,no
bcpa,0.4086,2012,no
bcpa,1.1099,2013,no
bcpa,4.7692,2014,no
bcpa,2.3158,2015,no
bcpa,2.8172,2016,no
bcpa,1.5633,2017,no
bcpa,0.3883,2018,no
bcpa,1.875,2019,no
bcpa,0.7414,2020,no
bcpi,3.9091,1964,no
bcpi,2.0714,1965,no
bcpi,0,1966,no
bcpi,0,1967,no
bcpi,1.6154,1970,no
bcpi,4,1971,no
bcpi,2.1875,1972,no
bcpi,3,1973,no
bcpi,1.7143,1974,no
bcpi,8.9024,1975,no
bcpi,2.8,1976,no
bcpi,9.3947,1977,no
bcpi,12.4214,1978,no
bcpi,2.325,1979,no
bcpi,14.129,1980,no
bcpi,2.918,1981,no
bcpi,1.7447,1982,no
bcpi,1.5439,1983,no
bcpi,3.2222,1984,no
bcpi,2.8451,1985,no
bcpi,0.7813,1986,no
bcpi,1.0833,1987,no
bcpi,4,1988,no
bcpi,0.5741,1989,no
bcpi,1.0877,1990,no
bcpi,0.3137,1991,no
bcpi,0.1951,1992,no
bcpi,0.5455,1993,no
bcpi,0.1184,1994,no
bcpi,0.6486,1995,no
bcpi,0.4578,1996,no
bcpi,5.7383,1997,no
bcpi,0.4268,1998,no
bcpi,1.4242,1999,no
bcpi,0.75,2000,no
bcpi,0.1105,2001,no
bcpi,0.0357,2002,no
bcpi,0.0227,2003,no
bcpi,4.9214,2004,no
bcpi,0.0736,2005,no
bcpi,4.0541,2006,no
bcpi,0.7781,2007,no
bcpi,0.1375,2008,no
bcpi,0.9154,2009,no
bcpi,0.1477,2010,no
bcpi,2.25,2011,no
bcpi,7.443,2012,no
bcpi,1.2692,2013,no
bcpi,4.9112,2014,no
bcpi,1.7644,2015,no
bcpi,6.5321,2016,no
bcpi,2.6745,2017,no
bcpi,3.8987,2018,no
bcpi,1.999,2019,no
bcpi,1.3901,2020,no
bcpo,7.75,2004,no
bcpo,7.8261,2005,no
bcpo,2.9221,2006,no
bcpo,9.5667,2007,no
bcpo,20.1463,2008,no
bcpo,11.0909,2009,no
bcpo,9.4144,2010,no
bcpo,7.5461,2011,no
bcpo,2.0127,2012,no
bcpo,9.0977,2013,no
bcpo,8.0417,2014,no
bcpo,2.5895,2015,no
bcpo,6.2283,2016,no
bcpo,3.7779,2017,no
bcpo,3.4364,2018,no
bcpo,3.22,2019,no
bcpo,1.7101,2020,no
bcpq,10.3464,1991,no
bcpq,4.9598,1992,no
bcpq,3.3738,1993,no
bcpq,2.05,1994,no
bcpq,6.1754,1995,no
bcpq,1.1924,1996,no
bcpq,2.806,1997,no
bcpq,2.6369,1998,no
bcpq,6.6719,1999,no
bcpq,6.4219,2000,no
bcpq,6.3095,2001,no
bcpq,27.7536,2002,no
bcpq,10.4725,2003,no
bcpq,17.6306,2004,no
bcpq,23.764,2005,no
bcpq,13.5111,2006,no
bcpq,28.1553,2007,no
bcpq,10.7399,2008,no
bcpq,6.844,2009,no
bcpq,8.8123,2010,no
bcpq,6.1857,2011,no
bcpq,6.2541,2012,no
bcpq,9.9874,2013,no
bcpq,9.3569,2014,no
bcpq,6.1327,2015,no
bcpq,8.8632,2016,no
bcpq,7.3222,2017,no
bcpq,3.5871,2018,no
bcpq,2.3237,2019,no
bcpq,2.2645,2020,no
bcrs,5.6818,1986,no
bcrs,1.4458,1987,no
bcrs,1.6471,1988,no
bcrs,3.8889,1989,no
bcrs,2.4444,1990,no
bcrs,0.4348,1991,no
bcrs,4.2222,1992,no
bcrs,1.5517,1993,no
bcrs,0.7273,1994,no
bcrs,7.4286,1995,no
bcrs,4.3956,1996,no
bcrs,1.4667,1997,no
bcrs,3.871,1998,no
bcrs,2.2,1999,no
bcrs,0.8485,2000,no
bcrs,2.8235,2001,no
bcrs,5.7143,2002,no
bcrs,0.4444,2003,no
bcrs,1.1034,2004,no
bcrs,4,2005,no
bcrs,3.0857,2006,no
bcrs,4.6897,2007,no
bcrs,2.8571,2008,no
bcrs,15.6667,2009,no
bcrs,3.1667,2010,no
bcrs,5.4286,2011,no
bcrs,2.5882,2012,no
bcrs,1.0909,2013,no
bcrs,5,2014,no
bcrs,5.6552,2015,no
bcrs,8.129,2016,no
bcrs,0.16,2017,no
bcrs,1.2203,2018,no
bcrs,5.12,2019,no
bcrs,2,2020,no
bcsc,3.9688,1979,no
bcsc,18.6216,1980,no
bcsc,20.1042,1981,no
bcsc,23.7714,1982,no
bcsc,58.9048,1983,no
bcsc,17.9767,1984,no
bcsc,10.1667,1986,no
bcsc,14.5435,1987,no
bcsc,10.5593,1988,no
bcsc,10.2264,1989,no
bcsc,10.9217,1990,no
bcsc,34.9913,1991,no
bcsc,9.2549,1992,no
bcsc,15.4464,1993,no
bcsc,8.0448,1994,no
bcsc,7.6364,1995,no
bcsc,9.0866,1996,no
bcsc,20.568,1997,no
bcsc,8.4882,1998,no
bcsc,37.3725,1999,no
bcsc,16.1905,2000,no
bcsc,13.4828,2001,no
bcsc,20.8762,2002,no
bcsc,8.4561,2003,no
bcsc,5.1429,2004,no
bcsc,0,2005,no
bcsc,12.14,2006,no
bcsc,59,2007,no
bcsc,14.214,2008,no
bcsc,9.3597,2009,no
bcsc,10.2576,2010,no
bcsc,101.5232,2011,no
bcsc,16.2727,2012,no
bcsc,8,2013,no
bcsc,4.4602,2014,no
bcsc,6.672,2015,no
bcsc,9.2766,2016,no
bcsc,24.2667,2017,no
bcsc,4.2642,2018,no
bcsc,6.1245,2019,no
bcsc,38.8462,2020,no
bcsi,2,1989,no
bcsi,3.0886,1990,no
bcsi,1.8122,1991,no
bcsi,9.0833,1992,no
bcsi,9.9585,1993,no
bcsi,5.6048,1994,no
bcsi,0.531,1995,no
bcsi,5.0258,1996,no
bcsi,10.449,1997,no
bcsi,3.8532,1998,no
bcsi,3.7879,1999,no
bcsi,5.1892,2000,no
bcsi,9.0704,2001,no
bcsi,0.28,2002,no
bcsi,0.6299,2003,no
bcsi,3.7368,2004,no
bcsi,12.6087,2005,no
bcsi,3.1264,2006,no
bcsi,10.747,2007,no
bcsi,3.1545,2008,no
bcsi,17.3333,2009,no
bcsi,7.6322,2010,no
bcsi,7.8961,2011,no
bcsi,4.0339,2012,no
bcsi,3.4023,2013,no
bcsi,1.5467,2014,no
bcsi,5.0947,2015,no
bcsi,4.5301,2016,no
bcsi,5.9474,2017,no
bcsi,1.2941,2018,no
bcsi,2.5116,2019,no
bcsi,3.4872,2020,no
bcso,2.8857,1983,no
bcso,7.5849,1984,no
bcso,2.629,1985,no
bcso,4.2449,1986,no
bcso,4.0147,1987,no
bcso,5.0375,1988,no
bcso,6.8222,1989,no
bcso,3.7143,1990,no
bcso,6.4937,1991,no
bcso,12.45,1992,no
bcso,18.6737,1993,no
bcso,4.4353,1996,no
bcso,3.1884,1999,no
bcso,7.7405,2000,no
bcso,2.9811,2001,no
bcso,2.4012,2002,no
bcso,2.2071,2003,no
bcso,8.1059,2004,no
bcso,2.9716,2005,no
bcso,4.3636,2006,no
bcso,0.8667,2007,no
bcso,1.5981,2009,no
bcso,4.1159,2010,no
bcso,3.2024,2011,no
bcso,3.043,2012,no
bcso,1.6294,2013,no
bcso,1.4415,2014,no
bcso,3.0377,2015,no
bcso,3.5492,2016,no
bcso,2.5726,2017,no
bcso,0.478,2018,no
bcso,2.2743,2019,no
bcso,1.3039,2020,no
bcss,3.0714,2005,no
bcss,1.7835,2006,no
bcss,1.4632,2007,no
bcss,3.1304,2008,no
bcss,3.9083,2009,no
bcss,7.751,2010,no
bcss,4.2955,2011,no
bcss,3.4998,2012,no
bcss,2.8584,2013,no
bcss,6.1538,2014,no
bcss,2.476,2015,no
bcss,3.0012,2016,no
bcss,2.2301,2017,no
bcss,1.4243,2018,no
bcss,3.377,2019,no
bcss,3.0868,2020,no
bctl,2.3881,2004,no
bctl,0.05,2005,no
bctl,0.1379,2006,no
bctl,1.625,2008,no
bctl,0.1,2009,no
bctl,0.4528,2010,no
bctl,0.4058,2011,no
bctl,0.375,2012,no
bctl,1,2013,no
bctl,0.0755,2015,no
bctl,1.8519,2016,no
bctl,0.04,2019,no
bctl,0.1869,2020,no
bcva,13,1957,no
bcva,18.9161,1958,no
bcva,22.8308,1959,no
bcva,10.8839,1960,no
bcva,12.5,1961,no
bcva,13.8298,1962,no
bcva,30.3922,1963,no
bcva,19.697,1964,no
bcva,24.3902,1965,no
bcva,20.5128,1966,no
bcva,30.719,1967,no
bcva,21.134,1968,no
bcva,19.0283,1969,no
bcva,10.9635,1970,no
bcva,8.8816,1971,no
bcva,10.5934,1972,no
bcva,8.4414,1973,no
bcva,9.5754,1974,no
bcva,7.376,1975,no
bcva,5.9341,1976,no
bcva,12.4551,1977,no
bcva,13.9573,1978,no
bcva,15.494,1979,no
bcva,9.9176,1980,no
bcva,11.9677,1981,no
bcva,5.676,1982,no
bcva,11.3478,1983,no
bcva,11.1855,1984,no
bcva,14.5871,1985,no
bcva,10.5971,1986,no
bcva,13.475,1987,no
bcva,12.2918,1988,no
bcva,16.0113,1989,no
bcva,11.2036,1990,no
bcva,8.5928,1991,no
bcva,13.0333,1992,no
bcva,8.2894,1993,no
bcva,16.8355,1994,no
bcva,25.561,1995,no
bcva,18.2166,1996,no
bcva,22.2495,1997,no
bcva,12.3015,1998,no
bcva,19.3165,1999,no
bcva,12.7167,2000,no
bcva,14.523,2001,no
bcva,9.5937,2002,no
bcva,4.6455,2003,no
bcva,10.7156,2004,no
bcva,9.5561,2005,no
bcva,9.9752,2006,no
bcva,23.4086,2007,no
bcva,21.5331,2008,no
bcva,11.2783,2009,no
bcva,16.1842,2010,no
bcva,11.8086,2011,no
bcva,22.2419,2012,no
bcva,16.1448,2013,no
bcva,36.0066,2014,no
bcva,8.4263,2015,no
bcva,10.4475,2016,no
bcva,22.0911,2017,no
bcva,5.4227,2018,no
bcva,5.364,2019,no
bcvi,1.8438,1958,no
bcvi,3.8,1959,no
bcvi,3.6341,1960,no
bcvi,5.4875,1961,no
bcvi,4.9425,1962,no
bcvi,6.6327,1963,no
bcvi,6.4706,1964,no
bcvi,4.8315,1965,no
bcvi,3.8095,1966,no
bcvi,7.8333,1967,no
bcvi,8.1944,1968,no
bcvi,3.4815,1969,no
bcvi,2.5909,1970,no
bcvi,2.6718,1971,no
bcvi,3.1189,1972,no
bcvi,5.912,1973,no
bcvi,4.0294,1974,no
bcvi,3.1862,1975,no
bcvi,2.2284,1976,no
bcvi,2.9888,1977,no
bcvi,2.236,1978,no
bcvi,4.1943,1979,no
bcvi,2.7048,1980,no
bcvi,1.903,1981,no
bcvi,1.3157,1982,no
bcvi,1.403,1983,no
bcvi,1.8237,1984,no
bcvi,1.8694,1985,no
bcvi,1.8291,1986,no
bcvi,2.5023,1987,no
bcvi,4.9597,1988,no
bcvi,1.7262,1989,no
bcvi,3.4521,1990,no
bcvi,1.4819,1991,no
bcvi,2.4852,1992,no
bcvi,2.9547,1993,no
bcvi,2.0976,1994,no
bcvi,1.8672,1995,no
bcvi,1.7268,1996,no
bcvi,1.6491,1997,no
bcvi,0.737,1998,no
bcvi,0.9099,1999,no
bcvi,0.8454,2000,no
bcvi,1.0847,2001,no
bcvi,1.4239,2002,no
bcvi,1.5263,2003,no
bcvi,1.2926,2004,no
bcvi,0.4836,2005,no
bcvi,0.9595,2006,no
bcvi,1.0405,2007,no
bcvi,0.4393,2008,no
bcvi,0.6073,2009,no
bcvi,0.6184,2010,no
bcvi,1.009,2011,no
bcvi,0.6362,2012,no
bcvi,1.6101,2013,no
bcvi,0.5443,2014,no
bcvi,1.5348,2015,no
bcvi,1.207,2016,no
bcvi,1.1056,2017,no
bcvi,1.9688,2018,no
bcvi,1.9707,2019,no
bcvi,1.0336,2020,no
bcwr,4.4375,1971,no
bcwr,13.9545,1972,no
bcwr,7.886,1973,no
bcwr,7.6447,1974,no
bcwr,34.6278,1975,no
bcwr,8.5412,1976,no
bcwr,3.2935,1977,no
bcwr,4.9585,1978,no
bcwr,4.4609,1979,no
bcwr,12.951,1980,no
bcwr,2.8768,1981,no
bcwr,7.301,1982,no
bcwr,3.6239,1983,no
bcwr,1.8137,1984,no
bcwr,1.578,1985,no
bcwr,2.0135,1986,no
bcwr,2.5236,1987,no
bcwr,1.309,1988,no
bcwr,2.1336,1989,no
bcwr,0.7424,1990,no
bcwr,3.8557,1991,no
bcwr,2.5285,1992,no
bcwr,2.0908,1993,no
bcwr,2.0541,1994,no
bcwr,4.2148,1995,no
bcwr,1.6655,1996,no
bcwr,2.4864,1997,no
bcwr,2.6958,1998,no
bcwr,1.7686,1999,no
bcwr,3.7143,2000,no
bcwr,5.2516,2001,no
bcwr,4.1628,2002,no
bcwr,2.2695,2003,no
bcwr,3.3821,2004,no
bcwr,1.8081,2005,no
bcwr,3.3173,2006,no
bcwr,3.7605,2007,no
bcwr,1.2523,2009,no
bcwr,1.258,2010,no
bcwr,2.4936,2011,no
bcwr,3.1042,2012,no
bcwr,2.1447,2013,no
bcwr,2.1312,2014,no
bcwr,4.3495,2015,no
bcwr,5.6649,2016,no
bcwr,6.6849,2017,no
bcwr,1.493,2018,no
bcwr,5.5742,2019,no
bcwr,4.5848,2020,no
bcba,20.73956403,2021,yes
bcbr,21.74996602,2021,yes
bcci,25,2021,yes
bcco,110.2500366,2021,yes
bcdb,106.7500697,2021,yes
bcde,17.5,2021,yes
bcdu,113.4252469,2021,yes
bcgs,226.9989808,2021,yes
bche,6.25,2021,yes
bcki,16.50165017,2021,yes
bcla,202.2534817,2021,yes
bclh,54.49989051,2021,yes
bclq,37.49707054,2021,yes
bcma,35.00175009,2021,yes
bcnb,62.10042316,2021,yes
bcnn,190.2969469,2021,yes
bcpa,30.97893432,2021,yes
bcpi,160.3087428,2021,yes
bcpo,57.1011221,2021,yes
bcpq,170.5008462,2021,yes
bcrs,6.499984884,2021,yes
bcsc,56.99921078,2021,yes
bcsi,31.7500635,2021,yes
bcso,129.0954416,2021,yes
bcss,176.9970612,2021,yes
bctl,13.99963479,2021,yes
bcva,240,2021,yes
bcvi,481.004902,2021,yes
bcwr,187.6326272,2021,yes
